appno,fullname,protectedgender,date_first_submitted,fromwhichinstitutiondidyoureceiv,ifyouselectedoutofstateorother,internal_external,positioncategory,signle_race,jobtypesappliedfor,ethnicity2,primary_recruitment_source,days_need_review,days_screening,days_cert_hold,days_candidate_action,days_needs_second_review,days_rec_approved,mean_days_need_review,mean_days_screening,mean_days_cert_hold,mean_days_candidate_action,mean_days_needs_second_review,mean_days_rec_approved,hired,current_pipeline_stage,hired_yn,datecomp,lastaccess
910,David Schmidt,Female,1/9/17,Ecole Superieur d'Ingenieurs Leonard de Vinci,,External Applications,Elementary School Teaching,White,Elementary - Grades 1 - 6,Not Hispanic,TPS Website,0,1,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Hired,No,1/9/17,1/18/17
899,Teresa Mendoza,Female,1/9/17,Nile University,,External Applications,Elementary School Teaching,White,Early Childhood - Pre-Kindergarten / Kindergarten,Not Hispanic,TPS Website,0,1,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Hired,No,1/9/17,1/18/17
670,Kelly Stevens,Female,1/9/17,Kodolanyi Janos University College,,External Applications,Elementary School Teaching,White,General,Not Hispanic,TPS Website,0,1,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Hired,No,1/9/17,1/18/17
706,Stephanie Schmidt,Female,1/9/17,Merkur Internationale FH Karlsruhe,,External Applications,Elementary School Teaching,White,Pre-K / Kindergarten,Not Hispanic,TPS Website,0,1,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Hired,No,1/9/17,1/18/17
940,Harold Daniels,Male,6/3/15,Utsunomiya University,University of Incarnate Word,External Applications,High School Teaching,White,Mathematics,Not Hispanic,Teachers-Teachers,0,14,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Withdrawn,No,6/5/15,8/26/16
404,Catherine Greene,Female,6/1/15,Institute of Industrial Electronics Engineering,,External Applications,High School Teaching,White,General,Not Hispanic,TPS Website,0,0,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Certification Pending,No,7/6/16,7/6/16
388,Kenneth Jenkins,Female,6/1/15,Coker College,,External Applications,Middle School Teaching,White,General,Not Hispanic,TPS Website,0,0,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Certification Pending,No,7/6/16,7/6/16
470,Douglas Reid,Male,5/10/16,Ecole Superieur d'Ingenieurs Leonard de Vinci,Pittsburg State University,External Applications,High School Teaching,White,Mathematics,Not Hispanic,Teachers-Teachers,1,0,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Certification Pending,No,5/10/16,6/8/16
816,Diane Harris,Male,5/10/16,Nile University,Pittsburg State University,External Applications,Middle School Teaching,White,Mathematics,Not Hispanic,Teachers-Teachers,1,0,,,,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Certification Pending,No,5/10/16,6/8/16
178,Steve Sims,Female,1/26/16,Kodolanyi Janos University College,John Brown University,External Applications,High School Teaching,White,Social Studies - Economics,Not Hispanic,Teachers-Teachers,1,1,,,32,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Certification Pending,No,1/26/16,1/26/16
626,Matthew Sullivan,Female,1/26/16,Merkur Internationale FH Karlsruhe,John Brown University,External Applications,High School Teaching,White,Social Studies - Political Science,Not Hispanic,Teachers-Teachers,1,1,,,32,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Certification Pending,No,1/26/16,1/26/16
152,Mildred Burns,Female,1/26/16,Utsunomiya University,John Brown University,External Applications,High School Teaching,White,Social Studies - History,Not Hispanic,Teachers-Teachers,1,1,,,32,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Certification Pending,No,1/26/16,1/26/16
997,Phyllis Montgomery,Female,1/26/16,Institute of Industrial Electronics Engineering,John Brown University,External Applications,High School Teaching,White,Special Education,Not Hispanic,Teachers-Teachers,1,1,,,32,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Certification Pending,No,1/26/16,1/26/16
867,Joyce Greene,Female,1/26/16,Coker College,John Brown University,External Applications,High School Teaching,White,Social Studies - Geography,Not Hispanic,Teachers-Teachers,1,1,,,32,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Certification Pending,No,1/26/16,1/26/16
417,Stephen Butler,Female,1/26/16,Ecole Superieur d'Ingenieurs Leonard de Vinci,John Brown University,External Applications,High School Teaching,White,Social Studies - Civics,Not Hispanic,Teachers-Teachers,1,1,,,32,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Certification Pending,No,1/26/16,1/26/16
399,Jeremy Martin,Female,1/26/16,Nile University,John Brown University,External Applications,Middle School Teaching,White,General,Not Hispanic,Teachers-Teachers,1,1,,,32,,0.96879274,2.840179,54.625,25.932098,18.942636,24.371952,0,Certification Pending,No,1/26/16,1/26/16
